airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-18,Kolkata,Banglore,20:20:00,22:55,155,0.0,No Info,4174
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,19:50,800,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15,590,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-01,Delhi,Cochin,09:15:00,19:00,585,1.0,No Info,12042
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15,1430,1.0,In-flight meal not included,8586
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00,810,2.0,In-flight meal not included,11507
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,09:15,980,1.0,In-flight meal not included,11134
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,20:45,1695,1.0,In-flight meal not included,10844
Indigo,2019-06-01,Delhi,Cochin,04:55:00,21:00,965,1.0,No Info,6314
Vistara,2019-05-12,Banglore,Delhi,17:00:00,19:35,155,0.0,No Info,4878
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00,440,2.0,No Info,18804
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,04:25,520,1.0,No Info,16079
Jet Airways,2019-06-09,Delhi,Cochin,11:00:00,14:15,195,0.0,In-flight meal not included,7202
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10,90,0.0,No Info,5678
Air India,2019-03-24,Kolkata,Banglore,13:55:00,23:15,2000,2.0,No Info,15292
Indigo,2019-04-06,Kolkata,Banglore,17:15:00,19:50,155,0.0,No Info,4174
Indigo,2019-03-18,Banglore,New Delhi,16:15:00,20:35,260,1.0,No Info,4437
Spicejet,2019-06-27,Delhi,Cochin,17:55:00,22:50,295,1.0,No Info,4957
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,18:50,440,1.0,No Info,15135
Vistara,2019-03-24,Banglore,New Delhi,21:10:00,00:05,175,0.0,No Info,6558
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:00,1280,1.0,No Info,20800
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35,825,1.0,No Info,14714
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,12:35,1615,2.0,In-flight meal not included,11733
Jet Airways,2019-03-12,Banglore,New Delhi,05:50:00,15:00,550,1.0,No Info,11297
Vistara,2019-04-18,Banglore,Delhi,19:30:00,22:15,165,0.0,No Info,5823
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:00,600,1.0,No Info,10197
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25,1375,2.0,No Info,15129
Air Asia,2019-06-21,Kolkata,Banglore,10:20:00,12:55,155,0.0,No Info,3807
Air India,2019-03-24,Kolkata,Banglore,09:10:00,07:55,1365,2.0,No Info,15187
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,18:50,1550,1.0,No Info,8820
Multiple Carriers,2019-05-18,Delhi,Cochin,07:30:00,19:15,705,1.0,No Info,7564
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20,170,0.0,No Info,4077
Indigo,2019-04-18,Kolkata,Banglore,15:30:00,18:05,155,0.0,No Info,4174
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,20:20,1440,1.0,No Info,8085
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45,180,0.0,In-flight meal not included,5769
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,20:20,1440,1.0,No Info,8610
Air India,2019-05-21,Delhi,Cochin,05:55:00,07:40,1545,2.0,No Info,11911
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,16:20,1220,1.0,In-flight meal not included,8529
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20,175,0.0,No Info,4990
Air India,2019-06-06,Delhi,Cochin,13:15:00,09:25,1210,2.0,No Info,10939
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15,705,1.0,No Info,9100
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25,610,1.0,No Info,14714
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00,170,0.0,No Info,10067
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,12:35,460,1.0,No Info,10678
Jet Airways,2019-05-24,Banglore,Delhi,11:10:00,14:05,175,0.0,In-flight meal not included,4030
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35,365,1.0,In-flight meal not included,10844
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00,360,1.0,No Info,14714
Spicejet,2019-05-15,Mumbai,Hyderabad,22:45:00,00:15,90,0.0,No check-in baggage included,1965
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55,135,0.0,No Info,4667
Indigo,2019-05-09,Delhi,Cochin,07:30:00,21:00,810,1.0,No Info,7191
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,16:10,550,1.0,No Info,26890
Air Asia,2019-05-01,Banglore,Delhi,04:55:00,07:45,170,0.0,No Info,4282
Indigo,2019-06-03,Delhi,Cochin,11:55:00,22:30,635,1.0,No Info,6442
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00,330,1.0,No Info,14388
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10,175,0.0,In-flight meal not included,7229
Air India,2019-03-24,Kolkata,Banglore,16:45:00,21:05,1700,1.0,No Info,6535
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,23:35,570,1.0,No Info,14781
Indigo,2019-05-09,Delhi,Cochin,20:25:00,01:30,305,1.0,No Info,7255
Air India,2019-05-01,Kolkata,Banglore,09:25:00,18:20,535,2.0,No Info,8366
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,16:10,490,1.0,No Info,22270
Indigo,2019-06-01,Delhi,Cochin,09:15:00,21:00,705,1.0,No Info,7258
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,18:50,1385,1.0,No Info,16289
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,12:35,425,2.0,No Info,16274
Jet Airways,2019-05-27,Delhi,Cochin,19:45:00,04:25,520,1.0,In-flight meal not included,12898
Air India,2019-03-06,Banglore,New Delhi,11:50:00,19:50,480,1.0,No Info,14594
Indigo,2019-03-09,Delhi,Cochin,17:30:00,01:35,485,1.0,No Info,12351
Indigo,2019-03-12,Chennai,Kolkata,22:05:00,00:30,145,0.0,No Info,6297
Air India,2019-03-24,Kolkata,Banglore,12:00:00,23:15,2115,3.0,No Info,14221
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,21:20,695,2.0,No Info,7178
Air India,2019-04-09,Delhi,Cochin,20:15:00,19:15,1380,2.0,No Info,9916
Indigo,2019-06-12,Chennai,Kolkata,13:15:00,15:35,140,0.0,No Info,3597
Indigo,2019-03-03,Delhi,Cochin,08:25:00,15:30,425,1.0,No Info,14871
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,19:50,685,1.0,No Info,13626
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,21:00,720,1.0,No Info,8073
Goair,2019-04-12,Banglore,Delhi,07:45:00,10:40,175,0.0,No Info,6722
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20,180,0.0,In-flight meal not included,7229
Indigo,2019-03-06,Delhi,Cochin,06:40:00,13:20,400,1.0,No Info,14871
Indigo,2019-05-06,Delhi,Cochin,10:35:00,01:30,895,1.0,No Info,6979
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10,90,0.0,In-flight meal not included,4050
Indigo,2019-04-09,Banglore,Delhi,04:00:00,06:50,170,0.0,No Info,3943
Air India,2019-03-06,Delhi,Cochin,18:05:00,21:10,185,0.0,No Info,7931
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,21:00,810,1.0,No Info,7740
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,12:35,1415,1.0,In-flight meal not included,11627
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,22:35,365,1.0,No Info,14781
Indigo,2019-03-27,Delhi,Cochin,04:45:00,13:20,515,1.0,No Info,7048
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,22:55,850,1.0,No Info,12080
Indigo,2019-03-21,Delhi,Cochin,07:35:00,12:00,265,1.0,No Info,5073
Air India,2019-05-06,Kolkata,Banglore,09:50:00,08:55,1385,2.0,No Info,13227
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,19:50,1495,1.0,No Info,13044
Air India,2019-04-09,Delhi,Cochin,20:30:00,08:15,705,1.0,No Info,5683
Vistara,2019-05-12,Chennai,Kolkata,17:45:00,20:05,140,0.0,No Info,11982
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15,800,1.0,In-flight meal not included,7757
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,12:00,1655,1.0,No Info,13759
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00,1425,1.0,In-flight meal not included,12373
Vistara,2019-05-27,Banglore,Delhi,17:00:00,19:35,155,0.0,No Info,4878
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,19:00,1620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35,1615,2.0,No Info,13014
Jet Airways,2019-06-03,Delhi,Cochin,09:35:00,12:35,1620,2.0,In-flight meal not included,11507
Indigo,2019-03-03,Banglore,New Delhi,06:00:00,08:45,165,0.0,No Info,6144
Jet Airways,2019-05-01,Delhi,Cochin,09:40:00,12:35,1615,2.0,No Info,15129
Air India,2019-03-27,Delhi,Cochin,19:45:00,19:15,1410,2.0,No Info,8656
Indigo,2019-06-12,Banglore,Delhi,08:30:00,11:20,170,0.0,No Info,4823
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15,1275,2.0,No Info,11281
Air India,2019-03-09,Banglore,New Delhi,17:00:00,19:45,165,0.0,No Info,10741
Air India,2019-05-18,Delhi,Cochin,09:45:00,23:00,795,1.0,No Info,8907
Air India,2019-06-06,Delhi,Cochin,17:15:00,19:15,1560,2.0,No Info,12777
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25,1210,2.0,No Info,11622
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,19:10,575,1.0,No Info,11467
Vistara,2019-06-21,Delhi,Cochin,14:40:00,17:50,190,0.0,No Info,6216
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,18:50,680,1.0,No Info,14629
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,19:45,1315,1.0,In-flight meal not included,7438
Air India,2019-06-24,Delhi,Cochin,13:15:00,07:40,1105,2.0,No Info,12497
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,21:20,485,2.0,No Info,11560
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,20:20,1440,1.0,No Info,9345
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35,330,1.0,In-flight meal not included,12373
Indigo,2019-05-18,Mumbai,Hyderabad,20:05:00,21:40,95,0.0,No Info,2227
Indigo,2019-03-06,Delhi,Cochin,14:20:00,22:20,480,1.0,No Info,7451
Air India,2019-05-09,Delhi,Cochin,09:45:00,23:00,795,1.0,No Info,7174
Air Asia,2019-05-15,Banglore,Delhi,11:10:00,13:55,165,0.0,No Info,3383
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05,155,0.0,No Info,4804
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15,90,0.0,No Info,2227
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00,960,1.0,No Info,14571
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00,1005,1.0,In-flight meal not included,12898
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50,90,0.0,No Info,8040
Indigo,2019-04-06,Kolkata,Banglore,06:15:00,10:30,255,1.0,No Info,4226
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,18:50,700,1.0,No Info,9345
Indigo,2019-04-03,Banglore,Delhi,23:30:00,02:20,170,0.0,No Info,4591
Vistara,2019-05-03,Banglore,Delhi,17:00:00,19:35,155,0.0,No Info,5613
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,10:25,1585,1.0,In-flight meal not included,11087
Indigo,2019-03-27,Delhi,Cochin,08:35:00,21:20,765,2.0,No Info,6494
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25,150,0.0,No Info,5989
Indigo,2019-06-24,Mumbai,Hyderabad,09:10:00,10:40,90,0.0,No Info,4049
Vistara,2019-03-27,Delhi,Cochin,06:00:00,09:10,190,0.0,No Info,4851
Air Asia,2019-03-03,Banglore,New Delhi,23:25:00,02:10,165,0.0,No Info,6135
Jet Airways,2019-05-06,Banglore,Delhi,11:10:00,14:05,175,0.0,In-flight meal not included,4030
Jet Airways,2019-06-15,Delhi,Cochin,18:20:00,12:35,1095,2.0,No Info,14300
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,13:20,375,1.0,No Info,12537
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,21:00,570,1.0,No Info,13587
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25,505,2.0,In-flight meal not included,15318
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25,1730,1.0,No Info,13067
Jet Airways,2019-06-24,Mumbai,Hyderabad,19:35:00,21:05,90,0.0,No Info,5678
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35,425,2.0,No Info,14441
Indigo,2019-05-21,Kolkata,Banglore,19:55:00,23:50,235,1.0,No Info,4226
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,19:15,455,1.0,No Info,10261
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,18:50,595,1.0,No Info,15411
Spicejet,2019-05-24,Kolkata,Banglore,08:35:00,17:15,520,1.0,No Info,6643
Indigo,2019-06-21,Banglore,Delhi,13:00:00,15:50,170,0.0,No Info,3943
Jet Airways,2019-05-03,Banglore,Delhi,15:15:00,18:10,175,0.0,In-flight meal not included,4544
