airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-06,Delhi,Cochin,14:20:00,22:30,490,1.0,No Info,6938
Multiple Carriers,2019-06-15,Delhi,Cochin,11:30:00,19:15,465,1.0,No Info,16108
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05,1745,1.0,No Info,13067
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15,1730,2.0,No Info,13591
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25,1840,2.0,No Info,13253
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15,1350,1.0,No Info,22798
Indigo,2019-04-06,Banglore,Delhi,06:05:00,08:50,165,0.0,No Info,4423
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00,1170,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05,1200,1.0,In-flight meal not included,9663
Indigo,2019-05-15,Delhi,Cochin,09:15:00,01:30,975,1.0,No Info,7503
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00,450,1.0,No Info,14714
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30,390,1.0,No Info,8307
Spicejet,2019-05-18,Banglore,Delhi,05:55:00,08:35,160,0.0,No check-in baggage included,3573
Indigo,2019-06-24,Delhi,Cochin,08:30:00,21:00,750,1.0,No Info,6093
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00,170,0.0,No Info,5201
Spicejet,2019-04-24,Kolkata,Banglore,15:05:00,20:20,315,1.0,No Info,4859
Spicejet,2019-04-15,Delhi,Cochin,15:45:00,22:05,380,1.0,No Info,5899
Air India,2019-04-01,Delhi,Cochin,17:20:00,09:25,965,1.0,No Info,5117
Spicejet,2019-03-21,Mumbai,Hyderabad,05:45:00,07:05,80,0.0,No Info,3173
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,19:00,1270,1.0,In-flight meal not included,10262
Vistara,2019-05-03,Banglore,Delhi,07:00:00,09:40,160,0.0,No Info,4668
Indigo,2019-03-09,Mumbai,Hyderabad,02:30:00,04:00,90,0.0,No Info,4784
Multiple Carriers,2019-05-09,Delhi,Cochin,14:00:00,21:00,420,1.0,No Info,13727
Indigo,2019-03-15,Kolkata,Banglore,20:25:00,23:05,160,0.0,No Info,4462
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30,630,1.0,No Info,13377
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:25,325,1.0,No Info,5636
Air Asia,2019-05-24,Banglore,Delhi,04:55:00,07:45,170,0.0,No Info,3383
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:30,1310,1.0,No Info,17261
Spicejet,2019-03-27,Chennai,Kolkata,09:30:00,12:05,155,0.0,No check-in baggage included,3332
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,04:25,830,2.0,In-flight meal not included,10919
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,22:05,1540,1.0,In-flight meal not included,9314
Indigo,2019-03-24,Kolkata,Banglore,04:15:00,09:50,335,1.0,No Info,4150
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45,1065,1.0,No Info,9187
Spicejet,2019-04-09,Kolkata,Banglore,06:55:00,09:30,155,0.0,No Info,3873
Air India,2019-03-12,Mumbai,Hyderabad,10:05:00,19:10,545,2.0,No Info,9736
Air Asia,2019-04-27,Kolkata,Banglore,19:55:00,22:25,150,0.0,No Info,4409
Air India,2019-03-09,Delhi,Cochin,18:30:00,19:15,1485,2.0,No Info,18211
Air India,2019-06-24,Delhi,Cochin,05:15:00,07:40,1585,3.0,No Info,10493
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35,160,0.0,No check-in baggage included,3815
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,18:00,1295,1.0,No Info,14151
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15,195,0.0,No Info,9564
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,12:25,950,1.0,In-flight meal not included,11087
Air India,2019-03-27,Delhi,Cochin,12:00:00,19:15,435,2.0,No Info,10493
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35,1320,2.0,In-flight meal not included,10919
Indigo,2019-06-12,Delhi,Cochin,11:25:00,01:30,845,1.0,No Info,5883
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,19:15,705,1.0,No Info,10161
Multiple Carriers,2019-06-01,Delhi,Cochin,14:55:00,22:30,455,1.0,No Info,7038
